Product Name,Product price
,
PS5 Console + Horizon Forbidden West Bundle,"EGP 27,979.00 "
,
"Sony PlayStation 5 Console with Wireless Controller CD version, White and Black","EGP 27,239.00 "
,
"Sony PlayStation 5 Console with Wireless Controller, Middle East Version - White and Black","EGP 1,399.00 "
,
PS5 CONSOLE-HORIZON FORBIDDEN WEST (VOUCHER),EGP 499.00 
,
Sony Playstation 5 Console with 2-Dualsense Controller,"EGP 2,536.00 "
,
"Sony PlayStation 5 Console with Wireless Controller, US Version - White and Black",EGP 559.00 
,
PlayStation 5 Digital Edition Console,EGP 299.00 
,
PlayStation 5 Console Disc Middle East Edition with White DualSense Controller and Black DualSense Controller,EGP 278.00 
,
"Frusde Plates Compatible with PS5, Hard Shockproof Faceplates Compatible with PS5 Console, ABS Anti-Scratch Dustproof Cover Replacement Plates Compatible with PS5 Disc Edition - Cosmic Red","EGP 19,000.00 "
,
Mmoptop PS5 Skin Venom for Playstation 5 Disc Edition with Console and Dualsense Controller Full Set,EGP 429.00 
,
Sony PlayStation 5 Console,"EGP 3,475.00 "
,
Sony Computer entertaiment CFI-ZCT1W Dual Sense Wireless Controller Black PS5,EGP 475.00 
,
"Disc Edition Face Plates Cover Skins Shell Panels for PS5 Console, Playstation 5 Accessories Faceplate Protective Shell Replacement Plate Dustproof Anti-Scratch (Disc Starlight Blue)",EGP 299.00 
