Product Name,Product price
,
PS5 Console + Horizon Forbidden West Bundle,"EGP 27,979.00 "
,
"Sony PlayStation 5 Console with Wireless Controller CD version, White and Black","EGP 27,239.00 "
,
"Sony PlayStation 5 Console with Wireless Controller, Middle East Version - White and Black","EGP 1,399.00 "
,
PS5 CONSOLE-HORIZON FORBIDDEN WEST (VOUCHER),EGP 499.00 
,
Sony Playstation 5 Console with 2-Dualsense Controller,"EGP 2,536.00 "
,
"Sony PlayStation 5 Console with Wireless Controller, US Version - White and Black",EGP 559.00 
,
PlayStation 5 Digital Edition Console,EGP 299.00 
,
PlayStation 5 Console Disc Middle East Edition with White DualSense Controller and Black DualSense Controller,EGP 278.00 
,
"Frusde Plates Compatible with PS5, Hard Shockproof Faceplates Compatible with PS5 Console, ABS Anti-Scratch Dustproof Cover Replacement Plates Compatible with PS5 Disc Edition - Cosmic Red","EGP 19,000.00 "
,
Mmoptop PS5 Skin Venom for Playstation 5 Disc Edition with Console and Dualsense Controller Full Set,EGP 429.00 
,
Sony PlayStation 5 Console,"EGP 3,475.00 "
,
Sony Computer entertaiment CFI-ZCT1W Dual Sense Wireless Controller Black PS5,EGP 475.00 
,
"Disc Edition Face Plates Cover Skins Shell Panels for PS5 Console, Playstation 5 Accessories Faceplate Protective Shell Replacement Plate Dustproof Anti-Scratch (Disc Starlight Blue)",EGP 299.00 
,
Product Name,Product price
,
Sony PlayStation 5 Console +  Fifa 22 English And Arabic PS5,"EGP 20,983.00"
,
Sony PlayStation 5 Console +  Fifa 22 Arabic Edition Ps5,"EGP 19,000.00"
,
For PS5 Controller Protective Hard Case Portable,EGP 242.81
,
Sony PlayStation 5 Console + Battlefield 2042 Ps5,"EGP 18,400.00"
,
"Hard EVA Case For PS5 Game Controller Holder ,",EGP 329.64
,
9 In 1 Gamepad Rocker Cap For PS4 / PS5 /,EGP 65.66
,
Protective Storage Bag Lightweight Shockproof For PS5,EGP 330.44
,
"Hard EVA Case For PS5 Game Controller Holder ,",EGP 317.85
,
9 In 1 Gamepad Rocker Cap For PS4 / PS5 / XboxSeriesX,EGP 63.52
,
"Hard EVA Case For PS5 Game Controller Holder ,",EGP 323.21
,
For PS5 Two-In-One Bracket Optical Drive Board Digital,EGP 270.68
,
For PS5 Two-In-One Bracket Optical Drive Board,EGP 280.86
,
Dobe Silicone Rocker Cap For PS5 PS4 Handle,EGP 175.54
,
Dobe Silicone Rocker Cap For PS5 PS4 Handle Nail Cover,EGP 169.11
,
Handle Protective Cover For Sony PlayStation PS5,EGP 106.93
,
Kjh KJH-PS5-009 External Cooling Fan PS5 DE/UHD Console - Black,EGP 333.00
,
Controller Gamepad For PS5 White Thumbstick Joystick Stick,EGP 105.06
,
Dobe Silicone Rocker Cap For PS5 PS4 Handle Nail Cover,EGP 190.39
,
Handle Protective Cover For Sony PlayStation PS5,EGP 105.86
,
"Hard EVA Case For PS5 Game Controller, Game Controller",EGP 304.02
,
Carrying Bag For PS5 Controller Protective Hard Case,EGP 242.70
,
Controller Gamepad For PS5 White Thumbstick,EGP 117.38
,
"Oivo PS5 Cooling Stand With Charging Station And Suction Cooling Fan,Dual Controller Charger Station,Must Have Accessories For Playstation 5 PS5 Console,Charging Dock Station And 12 Game Slots","EGP 1,199.00"
,
Handle Protective Cover For Sony PlayStation PS5,EGP 104.52
,
For PS5 Base Stand Host Console Horizontal Holder Game Carrying Display Dock Bracket for Playstation 5 Accessories,EGP 309.81
,
"Wall Mount Stand Holder for PS5 Console,with 2 Controller Hook Brackets, Wall Bracket Invisible Installation System","EGP 1,248.34"
,
Replacement Plate for PS5 Game Plate Case Console Skin Protective Cover for Playstation 5 Shell Accessories(Red),"EGP 1,364.39"
,
Skin Shell Case Cover Replacement Plate for PS5 Game Gaming Console Protective Anti-Scratch Dustproof Accessories-Black,"EGP 1,323.38"
,
"For PS5 Console Cover,Faceplate Case+Handle Decorative","EGP 1,422.01"
,
For PS5 Console Vertical Cooling Stand,"EGP 1,711.00"
,
"Horizontal Simple Style Cover for PS5 Game Console Dust Proof Cover Protector for PS5 Games Gaming Accessories,Black",EGP 143.92
,
For PS5 Console Bracket With CD Storage,EGP 241.00
,
"Horizontal Simple Style Cover for PS5 Game Console Dust Proof Cover Protector for PS5 Games Gaming Accessories,Black",EGP 147.94
,
Cooling Fan Stand For PS5 Console Vertical Radiator Dock,EGP 798.37
,
OIVO For PS5 Game Console Multi-Function Charging Base,EGP 737.27
,
Replacement Plate For PS5 Game Plate Case Console Cover,"EGP 1,326.06"
,
For PS5 Console Horizontal Bracket with CD Storage Code Version / CD Drive Version Portable Bracket White and Black,EGP 238.20
,
Simple Cover For PS5 Game Console Dust Proof,EGP 120.60
,
New Design for PS5 Bag Game Console Backpack for Sony Playstation 5 Console Travel Bag Host Back Pack Portable Satchel,EGP 633.55
,
For Sony PlayStation PS5 Game Console PS VR To PS5,EGP 303.91
,
